"year_f","age","age_f","period","sex","n","mean_yday","sd_yday","mean_fl","sd_fl","se_fl","up","lo"
"1944","42","4[2]","Gilbert-Clemens","male",119,193.310924369748,12.6543004676173,602.579831932773,25.1124575062938,2.30205520527044,607.091860135103,598.067803730443
"1944","52","5[2]","Gilbert-Clemens","female",129,197.589147286822,13.3279619146533,628.627906976744,24.8237757022633,2.18561158154817,632.911705676579,624.34410827691
"1944","52","5[2]","Gilbert-Clemens","male",106,194.160377358491,12.0973328760263,657.27358490566,23.2835658449179,2.26149983304332,661.706124578425,652.841045232895
"1944","53","5[3]","Gilbert-Clemens","female",297,205.094276094276,14.7994886997783,610.441077441077,22.8785880995702,1.32755032931637,613.043076086538,607.839078795617
"1944","53","5[3]","Gilbert-Clemens","male",192,202.802083333333,14.9141485877582,635.604166666667,28.3208909134078,2.04388424906825,639.61017979484,631.598153538493
"1944","63","6[3]","Gilbert-Clemens","female",227,199.674008810573,14.8231278051943,659.947136563877,28.8649100778064,1.91583137058771,663.702166050228,656.192107077525
"1944","63","6[3]","Gilbert-Clemens","male",345,197.35652173913,14.9089433736162,687.142028985507,27.1681906478984,1.46268621564944,690.00889396818,684.275164002834
"1945","42",NA,NA,"female",1,NA,NA,NA,NA,NA,NA,NA
"1945","42",NA,NA,"male",1,NA,NA,NA,NA,NA,NA,NA
"1945","52",NA,NA,"female",1,NA,NA,NA,NA,NA,NA,NA
"1945","52",NA,NA,"male",1,NA,NA,NA,NA,NA,NA,NA
"1945","53",NA,NA,"female",1,NA,NA,NA,NA,NA,NA,NA
"1945","53",NA,NA,"male",1,NA,NA,NA,NA,NA,NA,NA
"1945","63",NA,NA,"female",1,NA,NA,NA,NA,NA,NA,NA
"1945","63",NA,NA,"male",1,NA,NA,NA,NA,NA,NA,NA
"1946","42","4[2]","Gilbert-Clemens","female",67,194.208955223881,9.63663670964732,574.656716417911,21.014823223509,2.56736927646207,579.688760199776,569.624672636045
"1946","42","4[2]","Gilbert-Clemens","male",113,193.840707964602,9.38137057044573,600.159292035398,24.6031234848057,2.31446716895753,604.695647686555,595.622936384241
"1946","52","5[2]","Gilbert-Clemens","female",69,192.942028985507,8.52312435459283,638.101449275362,22.733199955608,2.73675567002524,643.465490388612,632.737408162113
"1946","52","5[2]","Gilbert-Clemens","male",99,194.575757575758,8.88025890077043,674.484848484848,29.9033694219051,3.00540170726807,680.375435831094,668.594261138603
"1946","53","5[3]","Gilbert-Clemens","female",549,202.821493624772,11.2733542161711,611.963570127505,21.7869273485117,0.929843400342705,613.786063192176,610.141077062833
"1946","53","5[3]","Gilbert-Clemens","male",444,200.331081081081,10.923325124967,638.155405405405,24.7471309428587,1.17444686031742,640.457321251628,635.853489559183
"1946","63","6[3]","Gilbert-Clemens","female",9,201.111111111111,14.4433760288622,664.444444444444,27.8572751319611,9.28575837732036,682.644530863992,646.244358024897
